,Date,Sentiment_score,Total_comments
0,2021-11-15,0.26742606271799807,366
1,2021-11-16,0.18394233018850858,1065
2,2021-11-17,0.05433303997165922,195
3,2021-11-18,0.10071154999801321,157
4,2021-11-19,0.08936711421702209,242
5,2021-11-20,0.05672758270014622,145
6,2021-11-21,0.11913590757584559,1110
7,2021-11-22,0.07080518841797219,1960
8,2021-11-23,0.04739912302195357,738
9,2021-11-24,0.04584163567780446,720
10,2021-11-25,0.05951295556174958,576
11,2021-11-26,0.04896068059996619,540
12,2021-11-27,0.06461433627309951,183
13,2021-11-28,0.05915276917020254,228
14,2021-11-29,0.040629794109206994,261
15,2021-11-30,0.04989487274189407,338
16,2021-12-01,0.06807733580610777,221
17,2021-12-02,0.049716206927224955,255
18,2021-12-03,0.06495865696451332,255
19,2021-12-04,0.08965911755591237,165
20,2021-12-05,0.053195098836047075,241
21,2021-12-06,0.05912185510716568,290
22,2021-12-07,0.07348379943194426,231
23,2021-12-08,0.06885583134378206,236
24,2021-12-09,0.05004751515367486,357
25,2021-12-10,0.06443751520366708,558
26,2021-12-11,0.039352022331824596,328
27,2021-12-12,0.06937724767337254,307
28,2021-12-13,0.126460866731021,762
29,2021-12-14,0.12881839175920234,1276
30,2021-12-15,0.03902725446702553,364
31,2021-12-16,0.07022501289101372,548
32,2021-12-17,0.11099024287217708,501
33,2021-12-18,0.05051073489887591,313
34,2021-12-19,0.14317810984537527,1397
35,2021-12-20,0.08327012280423761,977
36,2021-12-21,0.07723981032656786,356
37,2021-12-22,0.09512107760186204,185
38,2021-12-23,0.08189181889790026,187
39,2021-12-23,0.08189181889790026,187
